MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
12/20/2019 17:33:02,0,3.91,0,1,Poke,Left,1,0,0,nan
12/20/2019 17:33:07,0,3.99,2,1,Pellet,Left,1,0,1,1
12/20/2019 17:35:47,0,3.91,0,1,Poke,Left,2,0,1,nan
12/20/2019 17:36:38,0,3.99,2,1,Pellet,Left,2,0,2,47
12/20/2019 17:37:46,0,3.91,0,1,Poke,Left,3,0,2,nan
12/20/2019 17:38:19,0,4.00,2,1,Pellet,Left,3,0,3,30
12/20/2019 17:38:46,0,3.91,0,1,Poke,Left,3,1,3,nan
12/20/2019 17:40:21,0,3.91,0,1,Poke,Left,4,1,3,nan
12/20/2019 17:40:26,0,3.99,2,1,Poke,Left,4,1,4,nan
12/20/2019 17:41:31,0,3.91,0,1,Poke,Left,5,1,4,nan
12/20/2019 17:41:36,0,3.99,2,1,Pellet,Left,5,1,5,2
12/20/2019 17:42:25,0,3.91,0,1,Poke,Left,5,2,5,nan
12/20/2019 17:48:02,0,3.91,0,1,Poke,Left,6,2,5,nan
12/20/2019 17:48:09,0,3.98,2,1,Pellet,Left,6,2,6,2
12/20/2019 17:48:35,0,3.91,0,1,Poke,Left,7,2,6,nan
12/20/2019 17:48:40,0,3.99,2,1,Pellet,Left,7,2,7,2
12/20/2019 17:49:13,0,3.91,0,1,Poke,Left,8,2,7,nan
12/20/2019 17:49:19,0,3.99,2,1,Pellet,Left,8,2,8,1
12/20/2019 17:49:41,0,3.91,0,1,Poke,Left,8,3,8,nan
12/20/2019 17:49:47,0,3.91,0,1,Poke,Left,9,3,8,nan
12/20/2019 17:49:52,0,4.00,2,1,Pellet,Left,9,3,9,1
12/20/2019 17:50:18,0,3.91,0,1,Poke,Left,9,4,9,nan
12/20/2019 17:53:14,0,3.91,0,1,Poke,Left,10,4,9,nan
12/20/2019 17:53:23,0,3.99,3,1,Pellet,Left,10,4,10,3
12/20/2019 17:53:42,0,3.91,0,1,Poke,Left,11,4,10,nan
12/20/2019 17:53:50,0,3.99,4,1,Pellet,Left,11,4,11,2
12/20/2019 17:54:50,0,3.91,0,1,Poke,Left,12,4,11,nan
12/20/2019 17:54:56,0,3.91,2,1,Pellet,Left,12,4,12,1
12/20/2019 17:59:45,0,3.91,0,1,Poke,Left,13,4,12,nan
12/20/2019 17:59:51,0,3.98,2,1,Pellet,Left,13,4,13,1
